883183;	1;	10; February; 2025;
881953;	1;	02; February; 2025;
881780;	1;	01; February; 2025;
877770;	1;	04; January; 2025;
863888;	1;	03; October; 2024;
856689;	1;	14; August; 2024;
853051;	1;	20; July; 2024;
851248;	1;	08; July; 2024;
849233;	1;	24; June; 2024;
848477;	1;	18; June; 2024;
847849;	1;	14; June; 2024;
829613;	1;	09; February; 2024;
827853;	1;	28; January; 2024;
819343;	1;	01; December; 2023;
818038;	1;	23; November; 2023;
815202;	1;	04; November; 2023;
813210;	1;	21; October; 2023;
803389;	1;	16; August; 2023;
800786;	1;	29; July; 2023;
792379;	1;	01; June; 2023;
789147;	1;	10; May; 2023;
788837;	1;	08; May; 2023;
788805;	1;	08; May; 2023;
781487;	1;	19; March; 2023;
781277;	1;	18; March; 2023;
730848;	1;	07; April; 2022;
